Model,Score,Question,ResponseId
Llama-3,4,a,226
Llama-3,3,a,227
ChatGPT-4o,3,a,228
Gemini,5,a,229
Llama-3,4,a,230
Gemini,5,a,231
human,5,a,232
Gemini,3,a,233
ChatGPT-4o,4,a,234
human,5,a,235
Gemini,5,a,236
Gemini,2,a,237
ChatGPT-4o,5,a,238
human,5,a,239
ChatGPT-4o,5,a,240
human,4,a,241
ChatGPT-4o,5,a,242
Llama-3,3,a,243
human,4,b,1
human,4,b,2
Llama-3,1,b,3
human,4,b,4
Gemini,4,b,5
Llama-3,5,b,6
Gemini,5,b,7
Gemini,3,b,8
ChatGPT-4o,4,b,9
Gemini,4,b,10
ChatGPT-4o,5,b,11
Llama-3,5,b,12
Gemini,3,b,13
Llama-3,1,b,14
Llama-3,5,b,15
human,5,b,16
Gemini,4,b,17
Gemini,4,b,18
human,4,b,19
ChatGPT-4o,3,b,20
Gemini,2,b,21
human,4,b,22
ChatGPT-4o,5,b,23
Llama-3,5,b,24
Gemini,5,b,25
ChatGPT-4o,4,b,26
human,4,b,27
human,4,b,28
Gemini,4,b,29
Gemini,4,b,30
ChatGPT-4o,1,b,31
ChatGPT-4o,5,b,32
Gemini,4,b,33
Gemini,4,b,34
ChatGPT-4o,3,b,35
ChatGPT-4o,3,b,36
ChatGPT-4o,5,b,37
human,4,b,38
Llama-3,5,b,39
human,5,b,40
human,5,b,41
Llama-3,4,b,42
ChatGPT-4o,4,b,43
Llama-3,4,b,44
ChatGPT-4o,5,b,45
Gemini,4,b,46
human,5,b,47
human,5,b,48
Llama-3,5,b,49
Llama-3,5,b,50
ChatGPT-4o,5,b,51
Llama-3,3,b,52
Gemini,4,b,53
Llama-3,4,b,54
Llama-3,4,b,55
ChatGPT-4o,4,b,56
Gemini,5,b,57
Gemini,4,b,58
human,3,b,59
ChatGPT-4o,4,b,60
ChatGPT-4o,1,b,61
Gemini,5,b,62
Llama-3,3,b,63
Gemini,5,b,64
human,5,b,65
human,5,b,66
Gemini,5,b,67
ChatGPT-4o,5,b,68
human,5,b,69
ChatGPT-4o,5,b,70
Gemini,4,b,71
ChatGPT-4o,5,b,72
Gemini,5,b,73
human,5,b,74
Llama-3,5,b,75
Gemini,3,b,76
Llama-3,5,b,77
ChatGPT-4o,5,b,78
human,1,b,79
human,3,b,80
human,2,b,81
Gemini,1,b,82
human,5,b,83
Llama-3,4,b,84
ChatGPT-4o,5,b,85
Llama-3,5,b,86
ChatGPT-4o,5,b,87
Gemini,4,b,88
Gemini,4,b,89
human,4,b,90
human,3,b,91
Gemini,4,b,92
Gemini,5,b,93
Llama-3,5,b,94
Llama-3,5,b,95
human,5,b,96
Llama-3,1,b,97
Gemini,5,b,98
Llama-3,3,b,99
human,5,b,100
human,5,b,101
Gemini,5,b,102
Gemini,5,b,103
ChatGPT-4o,4,b,104
ChatGPT-4o,5,b,105
Llama-3,4,b,106
Llama-3,5,b,107
human,5,b,108
ChatGPT-4o,3,b,109
Llama-3,5,b,110
human,1,b,111
ChatGPT-4o,4,b,112
Llama-3,5,b,113
ChatGPT-4o,5,b,114
ChatGPT-4o,1,b,115
Llama-3,1,b,116
ChatGPT-4o,4,b,117
Llama-3,5,b,118
ChatGPT-4o,5,b,119
human,2,b,120
Llama-3,4,b,121
Gemini,4,b,122
ChatGPT-4o,3,b,123
Gemini,5,b,124
Gemini,4,b,125
human,3,b,126
Gemini,5,b,127
human,5,b,128
Llama-3,5,b,129
Gemini,5,b,130
human,1,b,131
Gemini,5,b,132
Llama-3,5,b,133
human,4,b,134
ChatGPT-4o,4,b,135
human,2,b,136
ChatGPT-4o,5,b,137
ChatGPT-4o,5,b,138
human,5,b,139
Llama-3,5,b,140
Llama-3,3,b,141
Llama-3,4,b,142
human,5,b,143
Gemini,5,b,144
Llama-3,4,b,145
human,4,b,146
human,5,b,147
Llama-3,4,b,148
ChatGPT-4o,4,b,149
ChatGPT-4o,3,b,150
Llama-3,4,b,151
human,5,b,152
Gemini,2,b,153
human,1,b,154
ChatGPT-4o,4,b,155
Llama-3,4,b,156
Llama-3,5,b,157
human,3,b,158
Llama-3,5,b,159
human,5,b,160
ChatGPT-4o,4,b,161
Gemini,5,b,162
ChatGPT-4o,4,b,163
Llama-3,3,b,164
Gemini,5,b,165
ChatGPT-4o,4,b,166
Llama-3,3,b,167
ChatGPT-4o,5,b,168
human,5,b,169
Llama-3,1,b,170
Gemini,4,b,171
human,4,b,172
Gemini,3,b,173
Llama-3,2,b,174
human,5,b,175
Llama-3,2,b,176
Llama-3,1,b,177
Gemini,3,b,178
human,2,b,179
ChatGPT-4o,3,b,180
Llama-3,4,b,181
ChatGPT-4o,4,b,182
ChatGPT-4o,5,b,183
human,1,b,184
human,5,b,185
ChatGPT-4o,3,b,186
ChatGPT-4o,5,b,187
Gemini,5,b,188
Llama-3,5,b,189
ChatGPT-4o,3,b,190
human,4,b,191
human,4,b,192
ChatGPT-4o,5,b,193
Gemini,2,b,194
human,1,b,195
Gemini,5,b,196
Gemini,3,b,197
Gemini,3,b,198
Llama-3,5,b,199
Llama-3,1,b,200
human,5,b,201
Gemini,3,b,202
ChatGPT-4o,5,b,203
Llama-3,4,b,204
Llama-3,1,b,205
Gemini,1,b,206
Llama-3,4,b,207
Llama-3,5,b,208
Llama-3,2,b,209
ChatGPT-4o,5,b,210
Llama-3,5,b,211
ChatGPT-4o,5,b,212
Llama-3,5,b,213
ChatGPT-4o,5,b,214
ChatGPT-4o,1,b,215
ChatGPT-4o,4,b,216
Llama-3,3,b,217
Gemini,5,b,218
human,4,b,219
Llama-3,5,b,220
human,1,b,221
Gemini,2,b,222
Gemini,3,b,223
Gemini,5,b,224
ChatGPT-4o,4,b,225
Gemini,1,b,226
ChatGPT-4o,3,b,227
human,5,b,228
human,2,b,229
Gemini,1,b,230
Gemini,1,b,231
human,5,b,232
human,3,b,233
human,4,b,234
Gemini,2,b,235
Gemini,4,b,236
ChatGPT-4o,1,b,237
Llama-3,3,b,238
human,5,b,239
human,3,b,240
Llama-3,4,b,241
Gemini,5,b,242
Gemini,4,b,243
ChatGPT-4o,4,c,1
human,4,c,2
Gemini,1,c,3
Llama-3,5,c,4
human,5,c,5
Llama-3,4,c,6
Gemini,5,c,7
Gemini,3,c,8
human,3,c,9
Gemini,3,c,10
ChatGPT-4o,5,c,11
human,5,c,12
ChatGPT-4o,5,c,13
human,3,c,14
Gemini,4,c,15
Llama-3,5,c,16
Llama-3,4,c,17
Gemini,3,c,18
ChatGPT-4o,2,c,19
Llama-3,3,c,20
ChatGPT-4o,4,c,21
Llama-3,3,c,22
human,5,c,23
human,4,c,24
Gemini,5,c,25
ChatGPT-4o,4,c,26
Llama-3,4,c,27
human,4,c,28
ChatGPT-4o,5,c,29
Llama-3,5,c,30
ChatGPT-4o,5,c,31
Llama-3,3,c,32
human,4,c,33
ChatGPT-4o,3,c,34
ChatGPT-4o,4,c,35
human,5,c,36
Gemini,5,c,37
Gemini,4,c,38
Llama-3,5,c,39
ChatGPT-4o,3,c,40
Gemini,5,c,41
Gemini,4,c,42
ChatGPT-4o,4,c,43
ChatGPT-4o,3,c,44
human,5,c,45
human,5,c,46
Llama-3,5,c,47
Gemini,2,c,48
ChatGPT-4o,5,c,49
ChatGPT-4o,5,c,50
Gemini,4,c,51
ChatGPT-4o,4,c,52
Gemini,4,c,53
Llama-3,4,c,54
Gemini,5,c,55
human,3,c,56
human,5,c,57
Gemini,4,c,58
human,2,c,59
human,4,c,60
Llama-3,3,c,61
ChatGPT-4o,5,c,62
human,4,c,63
ChatGPT-4o,5,c,64
Llama-3,3,c,65
Gemini,5,c,66
ChatGPT-4o,5,c,67
ChatGPT-4o,5,c,68
human,5,c,69
human,5,c,70
human,4,c,71
Gemini,5,c,72
human,5,c,73
Gemini,4,c,74
ChatGPT-4o,5,c,75
Gemini,3,c,76
human,3,c,77
human,4,c,78
Gemini,5,c,79
Gemini,5,c,80
Gemini,4,c,81
Gemini,3,c,82
Gemini,5,c,83
ChatGPT-4o,2,c,84
human,5,c,85
Llama-3,4,c,86
Llama-3,5,c,87
Llama-3,5,c,88
human,5,c,89
ChatGPT-4o,4,c,90
Llama-3,3,c,91
ChatGPT-4o,4,c,92
Gemini,5,c,93
Llama-3,5,c,94
human,5,c,95
Gemini,4,c,96
Llama-3,1,c,97
ChatGPT-4o,5,c,98
Gemini,5,c,99
Llama-3,5,c,100
human,5,c,101
human,5,c,102
Llama-3,5,c,103
Gemini,4,c,104
human,5,c,105
Llama-3,5,c,106
human,5,c,107
ChatGPT-4o,5,c,108
Gemini,4,c,109
ChatGPT-4o,4,c,110
ChatGPT-4o,3,c,111
ChatGPT-4o,3,c,112
ChatGPT-4o,5,c,113
Gemini,5,c,114
Gemini,3,c,115
human,3,c,116
ChatGPT-4o,4,c,117
human,5,c,118
Gemini,5,c,119
ChatGPT-4o,2,c,120
Gemini,4,c,121
ChatGPT-4o,4,c,122
Llama-3,4,c,123
human,3,c,124
Llama-3,4,c,125
Llama-3,4,c,126
human,5,c,127
human,5,c,128
ChatGPT-4o,1,c,129
Llama-3,4,c,130
human,1,c,131
Llama-3,5,c,132
human,3,c,133
Llama-3,4,c,134
human,3,c,135
ChatGPT-4o,4,c,136
human,5,c,137
Gemini,5,c,138
ChatGPT-4o,5,c,139
Llama-3,3,c,140
ChatGPT-4o,2,c,141
human,4,c,142
Llama-3,2,c,143
Llama-3,5,c,144
Gemini,4,c,145
Llama-3,2,c,146
human,3,c,147
Llama-3,3,c,148
Llama-3,4,c,149
Gemini,3,c,150
human,2,c,151
Gemini,5,c,152
Llama-3,2,c,153
Llama-3,2,c,154
Llama-3,5,c,155
Llama-3,4,c,156
Gemini,5,c,157
human,2,c,158
Gemini,5,c,159
Llama-3,5,c,160
Gemini,3,c,161
ChatGPT-4o,5,c,162
Gemini,4,c,163
Gemini,3,c,164
human,3,c,165
ChatGPT-4o,3,c,166
Gemini,4,c,167
Gemini,5,c,168
Llama-3,5,c,169
human,3,c,170
Gemini,5,c,171
Gemini,4,c,172
Llama-3,3,c,173
Gemini,3,c,174
ChatGPT-4o,4,c,175
ChatGPT-4o,3,c,176
human,3,c,177
ChatGPT-4o,4,c,178
ChatGPT-4o,3,c,179
human,3,c,180
Gemini,4,c,181
Gemini,2,c,182
human,5,c,183
Llama-3,3,c,184
Gemini,5,c,185
Gemini,3,c,186
human,4,c,187
human,4,c,188
ChatGPT-4o,5,c,189
human,3,c,190
Llama-3,4,c,191
Gemini,3,c,192
Gemini,3,c,193
ChatGPT-4o,3,c,194
Gemini,5,c,195
human,5,c,196
Llama-3,3,c,197
human,3,c,198
Llama-3,4,c,199
ChatGPT-4o,5,c,200
human,4,c,201
ChatGPT-4o,4,c,202
ChatGPT-4o,3,c,203
ChatGPT-4o,4,c,204
ChatGPT-4o,3,c,205
Gemini,3,c,206
Gemini,4,c,207
ChatGPT-4o,4,c,208
Gemini,4,c,209
Gemini,5,c,210
human,3,c,211
Llama-3,4,c,212
ChatGPT-4o,3,c,213
Llama-3,5,c,214
human,3,c,215
Llama-3,4,c,216
ChatGPT-4o,4,c,217
Gemini,5,c,218
Llama-3,4,c,219
Gemini,4,c,220
ChatGPT-4o,3,c,221
human,2,c,222
Gemini,3,c,223
human,5,c,224
Llama-3,5,c,225
Gemini,4,c,226
human,3,c,227
ChatGPT-4o,3,c,228
ChatGPT-4o,3,c,229
Llama-3,3,c,230
human,4,c,231
Llama-3,3,c,232
Llama-3,2,c,233
Gemini,4,c,234
human,5,c,235
Gemini,3,c,236
ChatGPT-4o,2,c,237
Llama-3,4,c,238
ChatGPT-4o,4,c,239
Gemini,3,c,240
ChatGPT-4o,3,c,241
human,4,c,242
Gemini,4,c,243
Llama-3,4,d,1
human,4,d,2
Gemini,1,d,3
human,4,d,4
ChatGPT-4o,4,d,5
Llama-3,5,d,6
ChatGPT-4o,5,d,7
Gemini,3,d,8
Gemini,2,d,9
Gemini,4,d,10
ChatGPT-4o,5,d,11
Llama-3,5,d,12
Llama-3,5,d,13
human,4,d,14
human,4,d,15
ChatGPT-4o,5,d,16
Gemini,4,d,17
Llama-3,5,d,18
ChatGPT-4o,4,d,19
human,3,d,20
Llama-3,4,d,21
Llama-3,4,d,22
Gemini,1,d,23
human,4,d,24
human,4,d,25
ChatGPT-4o,4,d,26
Llama-3,5,d,27
Llama-3,4,d,28
ChatGPT-4o,3,d,29
Llama-3,4,d,30
ChatGPT-4o,4,d,31
human,1,d,32
human,4,d,33
Llama-3,4,d,34
ChatGPT-4o,4,d,35
human,5,d,36
ChatGPT-4o,5,d,37
Gemini,4,d,38
ChatGPT-4o,5,d,39
Llama-3,5,d,40
Llama-3,5,d,41
ChatGPT-4o,4,d,42
human,5,d,43
ChatGPT-4o,4,d,44
ChatGPT-4o,1,d,45
ChatGPT-4o,5,d,46
Llama-3,5,d,47
Llama-3,4,d,48
Gemini,5,d,49
ChatGPT-4o,5,d,50
Gemini,5,d,51
human,4,d,52
Llama-3,3,d,53
ChatGPT-4o,4,d,54
ChatGPT-4o,5,d,55
ChatGPT-4o,5,d,56
ChatGPT-4o,5,d,57
Gemini,4,d,58
Gemini,3,d,59
human,4,d,60
Llama-3,2,d,61
human,5,d,62
Llama-3,2,d,63
Llama-3,5,d,64
human,3,d,65
Gemini,5,d,66
Gemini,5,d,67
human,5,d,68
Llama-3,5,d,69
human,5,d,70
ChatGPT-4o,4,d,71
human,5,d,72
human,5,d,73
Llama-3,5,d,74
ChatGPT-4o,5,d,75
human,3,d,76
Gemini,5,d,77
Gemini,4,d,78
Llama-3,3,d,79
Llama-3,4,d,80
Gemini,3,d,81
Gemini,4,d,82
ChatGPT-4o,5,d,83
Gemini,2,d,84
Llama-3,5,d,85
ChatGPT-4o,5,d,86
Gemini,5,d,87
ChatGPT-4o,4,d,88
Llama-3,5,d,89
human,4,d,90
Llama-3,3,d,91
Llama-3,4,d,92
Gemini,5,d,93
Llama-3,5,d,94
Llama-3,5,d,95
Gemini,5,d,96
Llama-3,3,d,97
human,5,d,98
Llama-3,5,d,99
Gemini,5,d,100
Gemini,5,d,101
Llama-3,5,d,102
Llama-3,4,d,103
human,4,d,104
human,5,d,105
Gemini,4,d,106
human,5,d,107
ChatGPT-4o,5,d,108
Gemini,3,d,109
Gemini,5,d,110
human,3,d,111
Llama-3,3,d,112
Gemini,5,d,113
ChatGPT-4o,5,d,114
human,3,d,115
Gemini,4,d,116
human,4,d,117
Gemini,5,d,118
Gemini,5,d,119
Gemini,5,d,120
ChatGPT-4o,5,d,121
ChatGPT-4o,5,d,122
Gemini,3,d,123
Gemini,4,d,124
Gemini,4,d,125
Llama-3,4,d,126
human,5,d,127
ChatGPT-4o,5,d,128
Llama-3,5,d,129
ChatGPT-4o,5,d,130
Llama-3,1,d,131
ChatGPT-4o,5,d,132
Gemini,5,d,133
human,4,d,134
ChatGPT-4o,3,d,135
Gemini,5,d,136
Gemini,5,d,137
ChatGPT-4o,5,d,138
human,5,d,139
human,5,d,140
Gemini,5,d,141
ChatGPT-4o,4,d,142
Gemini,5,d,143
human,5,d,144
human,4,d,145
Llama-3,3,d,146
human,5,d,147
Gemini,5,d,148
Gemini,4,d,149
ChatGPT-4o,4,d,150
Llama-3,5,d,151
human,5,d,152
Gemini,3,d,153
human,2,d,154
Gemini,2,d,155
ChatGPT-4o,4,d,156
Llama-3,5,d,157
human,3,d,158
ChatGPT-4o,5,d,159
Llama-3,2,d,160
ChatGPT-4o,3,d,161
ChatGPT-4o,5,d,162
ChatGPT-4o,5,d,163
ChatGPT-4o,3,d,164
Gemini,3,d,165
Llama-3,4,d,166
human,3,d,167
ChatGPT-4o,5,d,168
Llama-3,5,d,169
Gemini,1,d,170
Llama-3,4,d,171
Gemini,4,d,172
Gemini,3,d,173
human,3,d,174
Llama-3,5,d,175
ChatGPT-4o,5,d,176
ChatGPT-4o,4,d,177
Llama-3,4,d,178
ChatGPT-4o,3,d,179
human,1,d,180
human,4,d,181
human,5,d,182
Gemini,5,d,183
human,3,d,184
human,5,d,185
ChatGPT-4o,3,d,186
ChatGPT-4o,5,d,187
Llama-3,4,d,188
Llama-3,5,d,189
Llama-3,4,d,190
Llama-3,5,d,191
Gemini,5,d,192
Gemini,3,d,193
Gemini,2,d,194
Gemini,1,d,195
Gemini,5,d,196
ChatGPT-4o,5,d,197
human,3,d,198
Gemini,2,d,199
human,5,d,200
Llama-3,4,d,201
Gemini,5,d,202
ChatGPT-4o,4,d,203
human,3,d,204
Llama-3,1,d,205
Llama-3,3,d,206
Gemini,4,d,207
Llama-3,5,d,208
Gemini,3,d,209
Gemini,5,d,210
Llama-3,3,d,211
ChatGPT-4o,5,d,212
human,5,d,213
Llama-3,5,d,214
ChatGPT-4o,3,d,215
human,4,d,216
ChatGPT-4o,4,d,217
Llama-3,5,d,218
Gemini,5,d,219
human,5,d,220
Llama-3,5,d,221
Llama-3,3,d,222
ChatGPT-4o,4,d,223
Llama-3,5,d,224
Gemini,4,d,225
human,4,d,226
Gemini,3,d,227
ChatGPT-4o,5,d,228
human,5,d,229
human,3,d,230
Gemini,2,d,231
human,5,d,232
Llama-3,4,d,233
Llama-3,4,d,234
ChatGPT-4o,5,d,235
human,1,d,236
Gemini,3,d,237
human,2,d,238
human,4,d,239
ChatGPT-4o,3,d,240
Gemini,3,d,241
Llama-3,4,d,242
Llama-3,5,d,243
human,4,e,1
Gemini,4,e,2
Llama-3,1,e,3
Gemini,5,e,4
Gemini,4,e,5
Llama-3,5,e,6
ChatGPT-4o,5,e,7
human,3,e,8
Gemini,4,e,9
human,4,e,10
human,5,e,11
ChatGPT-4o,5,e,12
human,4,e,13
Llama-3,4,e,14
ChatGPT-4o,4,e,15
Llama-3,5,e,16
Llama-3,4,e,17
Gemini,4,e,18
human,4,e,19
human,3,e,20
ChatGPT-4o,3,e,21
ChatGPT-4o,4,e,22
human,4,e,23
human,4,e,24
human,5,e,25
Gemini,4,e,26
Llama-3,5,e,27
ChatGPT-4o,4,e,28
human,4,e,29
Gemini,4,e,30
human,1,e,31
ChatGPT-4o,5,e,32
ChatGPT-4o,4,e,33
ChatGPT-4o,5,e,34
ChatGPT-4o,4,e,35
Llama-3,4,e,36
ChatGPT-4o,5,e,37
human,4,e,38
Llama-3,5,e,39
human,4,e,40
Llama-3,5,e,41
human,3,e,42
Gemini,5,e,43
ChatGPT-4o,3,e,44
Llama-3,5,e,45
human,4,e,46
Llama-3,5,e,47
Gemini,5,e,48
Gemini,5,e,49
human,5,e,50
ChatGPT-4o,5,e,51
Llama-3,3,e,52
Llama-3,2,e,53
ChatGPT-4o,4,e,54
Llama-3,4,e,55
Gemini,3,e,56
Gemini,5,e,57
Gemini,4,e,58
human,4,e,59
ChatGPT-4o,5,e,60
human,2,e,61
Llama-3,5,e,62
human,3,e,63
human,5,e,64
human,3,e,65
human,5,e,66
ChatGPT-4o,5,e,67
ChatGPT-4o,5,e,68
Llama-3,5,e,69
Gemini,5,e,70
Llama-3,2,e,71
ChatGPT-4o,5,e,72
ChatGPT-4o,5,e,73
Gemini,5,e,74
Llama-3,5,e,75
Gemini,3,e,76
human,5,e,77
Gemini,5,e,78
ChatGPT-4o,3,e,79
Llama-3,5,e,80
ChatGPT-4o,3,e,81
Llama-3,1,e,82
ChatGPT-4o,5,e,83
ChatGPT-4o,4,e,84
Llama-3,5,e,85
ChatGPT-4o,5,e,86
ChatGPT-4o,5,e,87
ChatGPT-4o,5,e,88
Gemini,5,e,89
ChatGPT-4o,3,e,90
Gemini,3,e,91
Gemini,5,e,92
Gemini,5,e,93
Llama-3,4,e,94
Gemini,5,e,95
Gemini,5,e,96
ChatGPT-4o,3,e,97
Gemini,5,e,98
ChatGPT-4o,5,e,99
Llama-3,4,e,100
ChatGPT-4o,5,e,101
human,5,e,102
Llama-3,5,e,103
ChatGPT-4o,4,e,104
ChatGPT-4o,5,e,105
human,4,e,106
Llama-3,5,e,107
human,5,e,108
Llama-3,3,e,109
Gemini,5,e,110
human,2,e,111
Gemini,5,e,112
human,5,e,113
Gemini,5,e,114
Gemini,1,e,115
ChatGPT-4o,2,e,116
human,4,e,117
ChatGPT-4o,5,e,118
human,5,e,119
Gemini,4,e,120
Gemini,2,e,121
Llama-3,5,e,122
Llama-3,4,e,123
human,5,e,124
human,4,e,125
Gemini,4,e,126
human,5,e,127
ChatGPT-4o,5,e,128
ChatGPT-4o,5,e,129
Llama-3,5,e,130
human,1,e,131
Llama-3,5,e,132
Gemini,5,e,133
human,5,e,134
ChatGPT-4o,4,e,135
human,3,e,136
Llama-3,5,e,137
Gemini,5,e,138
Llama-3,5,e,139
human,5,e,140
Llama-3,4,e,141
human,4,e,142
human,2,e,143
human,5,e,144
Llama-3,4,e,145
Llama-3,5,e,146
human,3,e,147
human,4,e,148
Gemini,4,e,149
Llama-3,3,e,150
Llama-3,4,e,151
Gemini,5,e,152
Llama-3,5,e,153
Llama-3,2,e,154
Gemini,4,e,155
ChatGPT-4o,4,e,156
ChatGPT-4o,5,e,157
human,3,e,158
Llama-3,5,e,159
human,4,e,160
Llama-3,4,e,161
ChatGPT-4o,4,e,162
Gemini,3,e,163
ChatGPT-4o,3,e,164
ChatGPT-4o,5,e,165
Llama-3,5,e,166
ChatGPT-4o,3,e,167
Llama-3,5,e,168
ChatGPT-4o,5,e,169
Gemini,1,e,170
Llama-3,4,e,171
ChatGPT-4o,4,e,172
Gemini,4,e,173
human,2,e,174
human,4,e,175
Gemini,3,e,176
Llama-3,2,e,177
human,3,e,178
human,3,e,179
ChatGPT-4o,3,e,180
ChatGPT-4o,4,e,181
Llama-3,5,e,182
Llama-3,5,e,183
Llama-3,3,e,184
Llama-3,5,e,185
human,3,e,186
Gemini,4,e,187
Llama-3,5,e,188
Llama-3,5,e,189
ChatGPT-4o,3,e,190
Gemini,4,e,191
Gemini,4,e,192
ChatGPT-4o,3,e,193
Gemini,2,e,194
Gemini,1,e,195
Llama-3,5,e,196
Gemini,5,e,197
ChatGPT-4o,3,e,198
human,2,e,199
ChatGPT-4o,1,e,200
Llama-3,4,e,201
ChatGPT-4o,5,e,202
ChatGPT-4o,5,e,203
human,4,e,204
human,1,e,205
human,3,e,206
ChatGPT-4o,4,e,207
ChatGPT-4o,4,e,208
Gemini,2,e,209
Llama-3,5,e,210
ChatGPT-4o,5,e,211
ChatGPT-4o,4,e,212
ChatGPT-4o,5,e,213
ChatGPT-4o,5,e,214
human,2,e,215
Gemini,4,e,216
human,4,e,217
ChatGPT-4o,5,e,218
Llama-3,5,e,219
human,5,e,220
Llama-3,1,e,221
ChatGPT-4o,3,e,222
human,4,e,223
Llama-3,5,e,224
